| 0,1000 | 0,4894 |

| 0,2000 | 0,8815 |

| 0,3000 | 1,0875 |

| 0,4000 | 1,0693 |

| 0,5000 | 0,8485 |

| 0,6000 | 0,5011 |

| 0,7000 | 0,1392 |

| 0,8000 | -0,1168 |

| 0,9000 | -0,1675 |

| 1,0000 | 0,0411 |

| 1,1000 | 0,5045 |

| 1,2000 | 1,1606 |

| 1,3000 | 1,9051 |

| 1,4000 | 2,6170 |

| 1,5000 | 3,1880 |

| 1,6000 | 3,5494 |

| 1,7000 | 3,6885 |

| 1,8000 | 3,6521 |

| 1,9000 | 3,5348 |

| 2,0000 | 3,4560 |

| 0,1000 | 0,4894 |

| 0,2000 | 0,8815 |

| 0,3000 | 1,0875 |

| 0,4000 | 1,0693 |

| 0,5000 | 0,8485 |

| 0,6000 | 0,5011 |

| 0,7000 | 0,1392 |

| 0,8000 | -0,1168 |

| 0,9000 | -0,1675 |

| 1,0000 | 0,0411 |

| 1,1000 | 0,5045 |

| 1,2000 | 1,1606 |

| 1,3000 | 1,9051 |

| 1,4000 | 2,6170 |

| 1,5000 | 3,1880 |

| 1,6000 | 3,5494 |

| 1,7000 | 3,6885 |

| 1,8000 | 3,6521 |

| 1,9000 | 3,5348 |

| 2,0000 | 3,4560 |

| 0,1000 | 0,4894 |

| 0,2000 | 0,8815 |

| 0,3000 | 1,0875 |

| 0,4000 | 1,0693 |

| 0,5000 | 0,8485 |

| 0,6000 | 0,5011 |

| 0,7000 | 0,1392 |

| 0,8000 | -0,1168 |

| 0,9000 | -0,1675 |

| 1,0000 | 0,0411 |

| 1,1000 | 0,5045 |

| 1,2000 | 1,1606 |

| 1,3000 | 1,9051 |

| 1,4000 | 2,6170 |

| 1,5000 | 3,1880 |

| 1,6000 | 3,5494 |

| 1,7000 | 3,6885 |

| 1,8000 | 3,6521 |

| 1,9000 | 3,5348 |

| 2,0000 | 3,4560 |
